scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH,central_battery_capacity_kWh,central_battery_cycles,checksum_total_payments$,cp_ratio,cust_bill_cp,cust_solar_bill_cp,cust_total$_cp,eno$_bat_capex_repay,eno$_demand_charge,eno$_energy_bill,eno$_npv_building,eno$_receipts_from_residents,eno$_total_payment,eno_net$,export_kWh,import_kWh,pv_ratio,retailer_bill$,retailer_receipt$,self-consumption,self-consumption_OLD,self-sufficiency,self-sufficiency_OLD,solar_retailer_profit,total$_building_costs,total_battery_losses,total_building_load
0,demo_w2_000,en_pv,72,W,18000,2647.929192,8201.702757,0,0,0,0,0,0,0,21.55713017,0,0,0,0,17562.01053,65753.25055,-1098013.681,0,94602.88249,-94602.88249,7070.722819,313112.2128,25.08582647,35002.00688,65753.25055,93.10047673,93.10047673,23.35502404,23.35502404,0,94602.88249,0,408522.8143
1,demo_w2_001,en_pv,72,W,18000,2647.929192,8201.702757,1362.356901,0,1362.356901,0,0,0,0,21.55713017,19915.40814,0,19915.40814,0,17562.01053,65157.69329,-1091101.313,118005.105,94007.32524,23997.77975,10352.83975,308309.8862,27.06477188,34907.31859,65157.69329,90.63648726,90.63648726,24.53055852,24.53055852,0,94007.32524,0,408522.8143
2,demo_w2_002,en_pv,72,W,18000,2647.929192,8201.702757,0,0,0,0,0,0,0,21.55713017,0,0,0,0,17562.01053,65157.69329,-1091101.313,0,94007.32524,-94007.32524,10352.83975,308309.8862,27.06477188,34907.31859,65157.69329,90.63648726,90.63648726,24.53055852,24.53055852,0,94007.32524,0,408522.8143
3,demo_w2_003,en_pv,72,W,18000,2647.929192,8201.702757,0,0,0,0,0,0,0,21.55713017,0,0,0,0,17562.01053,65157.69329,-1091101.313,0,94007.32524,-94007.32524,10352.83975,308309.8862,27.06477188,34907.31859,65157.69329,90.63648726,90.63648726,24.53055852,24.53055852,0,94007.32524,0,408522.8143
4,demo_w2_004,btm_i_u,72,W,0,0,8201.702757,1115.302868,0,2538.654594,0,0,0,-94279.62153,21.55713017,19915.40814,0,19915.40814,0,0,0,-2352632.003,0,0,0,31063.98332,337105.4733,25.08582647,35002.00688,100217.2146,69.68815192,69.68815192,17.48184886,17.48184886,0,202698.5389,0,408522.8143
