scenario,cust_bill_W01_mean,cust_bill_W01_std,cust_bill_W02_mean,cust_bill_W02_std,cust_bill_W03_mean,cust_bill_W03_std,cust_bill_W04_mean,cust_bill_W04_std,cust_bill_W05_mean,cust_bill_W05_std,cust_bill_W06_mean,cust_bill_W06_std,cust_bill_W07_mean,cust_bill_W07_std,cust_bill_W08_mean,cust_bill_W08_std,cust_bill_W09_mean,cust_bill_W09_std,cust_bill_W10_mean,cust_bill_W10_std,cust_bill_W11_mean,cust_bill_W11_std,cust_bill_W12_mean,cust_bill_W12_std,cust_bill_W13_mean,cust_bill_W13_std,cust_bill_W14_mean,cust_bill_W14_std,cust_bill_W15_mean,cust_bill_W15_std,cust_bill_W16_mean,cust_bill_W16_std,cust_bill_W17_mean,cust_bill_W17_std,cust_bill_W18_mean,cust_bill_W18_std,cust_bill_W19_mean,cust_bill_W19_std,cust_bill_W20_mean,cust_bill_W20_std,cust_bill_W21_mean,cust_bill_W21_std,cust_bill_W22_mean,cust_bill_W22_std,cust_bill_W23_mean,cust_bill_W23_std,cust_bill_W24_mean,cust_bill_W24_std,cust_bill_W25_mean,cust_bill_W25_std,cust_bill_W26_A_mean,cust_bill_W26_A_std,cust_bill_W27_mean,cust_bill_W27_std,cust_bill_W28_mean,cust_bill_W28_std,cust_bill_W29_mean,cust_bill_W29_std,cust_bill_W30_A_mean,cust_bill_W30_A_std,cust_bill_W31_A_mean,cust_bill_W31_A_std,cust_bill_W32_A_mean,cust_bill_W32_A_std,cust_bill_W33_A_mean,cust_bill_W33_A_std,cust_bill_W34_A_mean,cust_bill_W34_A_std,cust_bill_W35_A_mean,cust_bill_W35_A_std,cust_bill_W36_A_mean,cust_bill_W36_A_std,cust_bill_W37_A_mean,cust_bill_W37_A_std,cust_bill_W38_A_mean,cust_bill_W38_A_std,cust_bill_W39_A_mean,cust_bill_W39_A_std,cust_bill_W40_A_mean,cust_bill_W40_A_std,cust_bill_W41_A_mean,cust_bill_W41_A_std,cust_bill_W42_A_mean,cust_bill_W42_A_std,cust_bill_W43_A_mean,cust_bill_W43_A_std,cust_bill_W44_A_mean,cust_bill_W44_A_std,cust_bill_W45_A_mean,cust_bill_W45_A_std,cust_bill_W46_A_mean,cust_bill_W46_A_std,cust_bill_W47_A_mean,cust_bill_W47_A_std,cust_bill_W48_A_mean,cust_bill_W48_A_std,cust_bill_W49_A_mean,cust_bill_W49_A_std,cust_bill_W50_A_mean,cust_bill_W50_A_std,cust_bill_W51_A_mean,cust_bill_W51_A_std,cust_bill_W52_A_mean,cust_bill_W52_A_std,cust_bill_W53_A_mean,cust_bill_W53_A_std,cust_bill_W54_A_mean,cust_bill_W54_A_std,cust_bill_W55_A_mean,cust_bill_W55_A_std,cust_bill_W56_A_mean,cust_bill_W56_A_std,cust_bill_W57_A_mean,cust_bill_W57_A_std,cust_bill_W58_A_mean,cust_bill_W58_A_std,cust_bill_W59_A_mean,cust_bill_W59_A_std,cust_bill_W60_A_mean,cust_bill_W60_A_std,cust_bill_W61_A_mean,cust_bill_W61_A_std,cust_bill_W62_A_mean,cust_bill_W62_A_std,cust_bill_W63_A_mean,cust_bill_W63_A_std,cust_bill_W64_A_mean,cust_bill_W64_A_std,cust_bill_W65_A_mean,cust_bill_W65_A_std,cust_bill_W66_A_mean,cust_bill_W66_A_std,cust_bill_W67_A_mean,cust_bill_W67_A_std,cust_bill_W68_A_mean,cust_bill_W68_A_std,cust_bill_W69_A_mean,cust_bill_W69_A_std,cust_bill_W70_A_mean,cust_bill_W70_A_std,cust_bill_W71_A_mean,cust_bill_W71_A_std,cust_bill_W72_A_mean,cust_bill_W72_A_std,cust_solar_bill_W01_mean,cust_solar_bill_W01_std,cust_solar_bill_W02_mean,cust_solar_bill_W02_std,cust_solar_bill_W03_mean,cust_solar_bill_W03_std,cust_solar_bill_W04_mean,cust_solar_bill_W04_std,cust_solar_bill_W05_mean,cust_solar_bill_W05_std,cust_solar_bill_W06_mean,cust_solar_bill_W06_std,cust_solar_bill_W07_mean,cust_solar_bill_W07_std,cust_solar_bill_W08_mean,cust_solar_bill_W08_std,cust_solar_bill_W09_mean,cust_solar_bill_W09_std,cust_solar_bill_W10_mean,cust_solar_bill_W10_std,cust_solar_bill_W11_mean,cust_solar_bill_W11_std,cust_solar_bill_W12_mean,cust_solar_bill_W12_std,cust_solar_bill_W13_mean,cust_solar_bill_W13_std,cust_solar_bill_W14_mean,cust_solar_bill_W14_std,cust_solar_bill_W15_mean,cust_solar_bill_W15_std,cust_solar_bill_W16_mean,cust_solar_bill_W16_std,cust_solar_bill_W17_mean,cust_solar_bill_W17_std,cust_solar_bill_W18_mean,cust_solar_bill_W18_std,cust_solar_bill_W19_mean,cust_solar_bill_W19_std,cust_solar_bill_W20_mean,cust_solar_bill_W20_std,cust_solar_bill_W21_mean,cust_solar_bill_W21_std,cust_solar_bill_W22_mean,cust_solar_bill_W22_std,cust_solar_bill_W23_mean,cust_solar_bill_W23_std,cust_solar_bill_W24_mean,cust_solar_bill_W24_std,cust_solar_bill_W25_mean,cust_solar_bill_W25_std,cust_solar_bill_W26_A_mean,cust_solar_bill_W26_A_std,cust_solar_bill_W27_mean,cust_solar_bill_W27_std,cust_solar_bill_W28_mean,cust_solar_bill_W28_std,cust_solar_bill_W29_mean,cust_solar_bill_W29_std,cust_solar_bill_W30_A_mean,cust_solar_bill_W30_A_std,cust_solar_bill_W31_A_mean,cust_solar_bill_W31_A_std,cust_solar_bill_W32_A_mean,cust_solar_bill_W32_A_std,cust_solar_bill_W33_A_mean,cust_solar_bill_W33_A_std,cust_solar_bill_W34_A_mean,cust_solar_bill_W34_A_std,cust_solar_bill_W35_A_mean,cust_solar_bill_W35_A_std,cust_solar_bill_W36_A_mean,cust_solar_bill_W36_A_std,cust_solar_bill_W37_A_mean,cust_solar_bill_W37_A_std,cust_solar_bill_W38_A_mean,cust_solar_bill_W38_A_std,cust_solar_bill_W39_A_mean,cust_solar_bill_W39_A_std,cust_solar_bill_W40_A_mean,cust_solar_bill_W40_A_std,cust_solar_bill_W41_A_mean,cust_solar_bill_W41_A_std,cust_solar_bill_W42_A_mean,cust_solar_bill_W42_A_std,cust_solar_bill_W43_A_mean,cust_solar_bill_W43_A_std,cust_solar_bill_W44_A_mean,cust_solar_bill_W44_A_std,cust_solar_bill_W45_A_mean,cust_solar_bill_W45_A_std,cust_solar_bill_W46_A_mean,cust_solar_bill_W46_A_std,cust_solar_bill_W47_A_mean,cust_solar_bill_W47_A_std,cust_solar_bill_W48_A_mean,cust_solar_bill_W48_A_std,cust_solar_bill_W49_A_mean,cust_solar_bill_W49_A_std,cust_solar_bill_W50_A_mean,cust_solar_bill_W50_A_std,cust_solar_bill_W51_A_mean,cust_solar_bill_W51_A_std,cust_solar_bill_W52_A_mean,cust_solar_bill_W52_A_std,cust_solar_bill_W53_A_mean,cust_solar_bill_W53_A_std,cust_solar_bill_W54_A_mean,cust_solar_bill_W54_A_std,cust_solar_bill_W55_A_mean,cust_solar_bill_W55_A_std,cust_solar_bill_W56_A_mean,cust_solar_bill_W56_A_std,cust_solar_bill_W57_A_mean,cust_solar_bill_W57_A_std,cust_solar_bill_W58_A_mean,cust_solar_bill_W58_A_std,cust_solar_bill_W59_A_mean,cust_solar_bill_W59_A_std,cust_solar_bill_W60_A_mean,cust_solar_bill_W60_A_std,cust_solar_bill_W61_A_mean,cust_solar_bill_W61_A_std,cust_solar_bill_W62_A_mean,cust_solar_bill_W62_A_std,cust_solar_bill_W63_A_mean,cust_solar_bill_W63_A_std,cust_solar_bill_W64_A_mean,cust_solar_bill_W64_A_std,cust_solar_bill_W65_A_mean,cust_solar_bill_W65_A_std,cust_solar_bill_W66_A_mean,cust_solar_bill_W66_A_std,cust_solar_bill_W67_A_mean,cust_solar_bill_W67_A_std,cust_solar_bill_W68_A_mean,cust_solar_bill_W68_A_std,cust_solar_bill_W69_A_mean,cust_solar_bill_W69_A_std,cust_solar_bill_W70_A_mean,cust_solar_bill_W70_A_std,cust_solar_bill_W71_A_mean,cust_solar_bill_W71_A_std,cust_solar_bill_W72_A_mean,cust_solar_bill_W72_A_std,cust_total$_W01_mean,cust_total$_W01_std,cust_total$_W02_mean,cust_total$_W02_std,cust_total$_W03_mean,cust_total$_W03_std,cust_total$_W04_mean,cust_total$_W04_std,cust_total$_W05_mean,cust_total$_W05_std,cust_total$_W06_mean,cust_total$_W06_std,cust_total$_W07_mean,cust_total$_W07_std,cust_total$_W08_mean,cust_total$_W08_std,cust_total$_W09_mean,cust_total$_W09_std,cust_total$_W10_mean,cust_total$_W10_std,cust_total$_W11_mean,cust_total$_W11_std,cust_total$_W12_mean,cust_total$_W12_std,cust_total$_W13_mean,cust_total$_W13_std,cust_total$_W14_mean,cust_total$_W14_std,cust_total$_W15_mean,cust_total$_W15_std,cust_total$_W16_mean,cust_total$_W16_std,cust_total$_W17_mean,cust_total$_W17_std,cust_total$_W18_mean,cust_total$_W18_std,cust_total$_W19_mean,cust_total$_W19_std,cust_total$_W20_mean,cust_total$_W20_std,cust_total$_W21_mean,cust_total$_W21_std,cust_total$_W22_mean,cust_total$_W22_std,cust_total$_W23_mean,cust_total$_W23_std,cust_total$_W24_mean,cust_total$_W24_std,cust_total$_W25_mean,cust_total$_W25_std,cust_total$_W26_A_mean,cust_total$_W26_A_std,cust_total$_W27_mean,cust_total$_W27_std,cust_total$_W28_mean,cust_total$_W28_std,cust_total$_W29_mean,cust_total$_W29_std,cust_total$_W30_A_mean,cust_total$_W30_A_std,cust_total$_W31_A_mean,cust_total$_W31_A_std,cust_total$_W32_A_mean,cust_total$_W32_A_std,cust_total$_W33_A_mean,cust_total$_W33_A_std,cust_total$_W34_A_mean,cust_total$_W34_A_std,cust_total$_W35_A_mean,cust_total$_W35_A_std,cust_total$_W36_A_mean,cust_total$_W36_A_std,cust_total$_W37_A_mean,cust_total$_W37_A_std,cust_total$_W38_A_mean,cust_total$_W38_A_std,cust_total$_W39_A_mean,cust_total$_W39_A_std,cust_total$_W40_A_mean,cust_total$_W40_A_std,cust_total$_W41_A_mean,cust_total$_W41_A_std,cust_total$_W42_A_mean,cust_total$_W42_A_std,cust_total$_W43_A_mean,cust_total$_W43_A_std,cust_total$_W44_A_mean,cust_total$_W44_A_std,cust_total$_W45_A_mean,cust_total$_W45_A_std,cust_total$_W46_A_mean,cust_total$_W46_A_std,cust_total$_W47_A_mean,cust_total$_W47_A_std,cust_total$_W48_A_mean,cust_total$_W48_A_std,cust_total$_W49_A_mean,cust_total$_W49_A_std,cust_total$_W50_A_mean,cust_total$_W50_A_std,cust_total$_W51_A_mean,cust_total$_W51_A_std,cust_total$_W52_A_mean,cust_total$_W52_A_std,cust_total$_W53_A_mean,cust_total$_W53_A_std,cust_total$_W54_A_mean,cust_total$_W54_A_std,cust_total$_W55_A_mean,cust_total$_W55_A_std,cust_total$_W56_A_mean,cust_total$_W56_A_std,cust_total$_W57_A_mean,cust_total$_W57_A_std,cust_total$_W58_A_mean,cust_total$_W58_A_std,cust_total$_W59_A_mean,cust_total$_W59_A_std,cust_total$_W60_A_mean,cust_total$_W60_A_std,cust_total$_W61_A_mean,cust_total$_W61_A_std,cust_total$_W62_A_mean,cust_total$_W62_A_std,cust_total$_W63_A_mean,cust_total$_W63_A_std,cust_total$_W64_A_mean,cust_total$_W64_A_std,cust_total$_W65_A_mean,cust_total$_W65_A_std,cust_total$_W66_A_mean,cust_total$_W66_A_std,cust_total$_W67_A_mean,cust_total$_W67_A_std,cust_total$_W68_A_mean,cust_total$_W68_A_std,cust_total$_W69_A_mean,cust_total$_W69_A_std,cust_total$_W70_A_mean,cust_total$_W70_A_std,cust_total$_W71_A_mean,cust_total$_W71_A_std,cust_total$_W72_A_mean,cust_total$_W72_A_std
0,1594.539500917129,,1232.1546320798357,,1500.667825470142,,1152.7395184022855,,1728.6988756912958,,2227.5697482018395,,1283.320715319262,,1243.8269472361615,,1465.3397292810478,,982.4218976662943,,1109.8866225029385,,1269.3197986344164,,1767.5226058183564,,1590.08722494413,,2637.557705962556,,1432.9244541189773,,941.5049303156475,,457.85532355399687,,982.2179987241294,,1409.8695623137132,,2187.901207668203,,1022.4433036522082,,976.405681957645,,796.1117456873711,,913.9973772013718,,1361.4883349124839,,1411.7791095956504,,1561.3101384709673,,1770.2833744403442,,1360.99358720923,,1361.2977228905336,,1361.1870383943494,,1361.6257578816937,,1361.6066245242348,,1361.3277310945477,,1361.1344221774998,,1361.1248949376281,,1360.905560502399,,1361.1800138505694,,1361.443593738445,,1361.269107795335,,1361.3863302691875,,1361.7637343771983,,1361.3665542755598,,1361.14238792546,,1361.0015181367164,,1360.9686103802574,,1361.06818625174,,1361.8427222274795,,1361.1758793922522,,1361.1837795603278,,1360.9673195433354,,1361.058928133525,,1361.459247076015,,1361.3510244874064,,1361.47994099293,,1360.984452362848,,1360.9972209751616,,1361.131573514224,,1361.180449205542,,1361.0621825762316,,1361.1646313640865,,1361.140309825172,,1361.1853725119017,,1361.1787366291423,,1361.2437299512274,,1361.3291562383984,,1361.4607146149192,,1361.4351906026618,,1361.6882706762588,,1361.738409908585,,1361.8828316222268,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1594.539500917129,,1232.1546320798357,,1500.667825470142,,1152.7395184022855,,1728.6988756912958,,2227.5697482018395,,1283.320715319262,,1243.8269472361615,,1465.3397292810478,,982.4218976662943,,1109.8866225029385,,1269.3197986344164,,1767.5226058183564,,1590.08722494413,,2637.557705962556,,1432.9244541189773,,941.5049303156475,,457.85532355399687,,982.2179987241294,,1409.8695623137132,,2187.901207668203,,1022.4433036522082,,976.405681957645,,796.1117456873711,,913.9973772013718,,1361.4883349124839,,1411.7791095956504,,1561.3101384709673,,1770.2833744403442,,1360.99358720923,,1361.2977228905336,,1361.1870383943494,,1361.6257578816937,,1361.6066245242348,,1361.3277310945477,,1361.1344221774998,,1361.1248949376281,,1360.905560502399,,1361.1800138505694,,1361.443593738445,,1361.269107795335,,1361.3863302691875,,1361.7637343771983,,1361.3665542755598,,1361.14238792546,,1361.0015181367164,,1360.9686103802574,,1361.06818625174,,1361.8427222274795,,1361.1758793922522,,1361.1837795603278,,1360.9673195433354,,1361.058928133525,,1361.459247076015,,1361.3510244874064,,1361.47994099293,,1360.984452362848,,1360.9972209751616,,1361.131573514224,,1361.180449205542,,1361.0621825762316,,1361.1646313640865,,1361.140309825172,,1361.1853725119017,,1361.1787366291423,,1361.2437299512274,,1361.3291562383984,,1361.4607146149192,,1361.4351906026618,,1361.6882706762588,,1361.738409908585,,1361.8828316222268,
10,1355.13491447534,,1097.711593720557,,1897.947349379487,,1276.7964365388652,,1907.2195944721925,,2112.5064370389723,,1012.174563317872,,2137.403815562977,,1061.1065985550426,,835.516067105516,,2075.258469974539,,684.6217133636608,,1956.8715777182692,,1293.9374319777887,,4278.571151727173,,1534.903623622029,,617.1948508323865,,176.48705204140927,,698.591676026559,,1336.920693240251,,4540.690840087181,,809.6422286564438,,557.3406319852888,,452.9158177564582,,933.4563739898659,,1244.172943266695,,2393.388926440947,,2523.4073052816116,,2236.747734257986,,1243.8628863948302,,1244.0534872957487,,1243.984121660648,,1244.2590658210302,,1244.2470750044524,,1244.072293345389,,1243.9511472385364,,1243.945176546459,,1243.8077203269918,,1243.9797194005537,,1244.144904109818,,1244.0355543031403,,1244.1090172688416,,1244.3455352686003,,1244.0966237141433,,1243.9561393484107,,1243.8678566828196,,1243.8472334925336,,1243.9096373865227,,1244.395036712695,,1243.9771283481764,,1243.9820793593374,,1243.8464245289842,,1243.903835352164,,1244.154714008579,,1244.0868912434237,,1244.1676828229936,,1243.857161614552,,1243.8651636648212,,1243.9493619899774,,1243.9799922361826,,1243.905874901451,,1243.9700792433403,,1243.9548370093182,,1243.9830776572148,,1243.978918969793,,1244.019650085886,,1244.0731864786796,,1244.1556337107204,,1244.1396378903335,,1244.2982423981157,,1244.329664501605,,1244.4201731476617,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1355.13491447534,,1097.711593720557,,1897.947349379487,,1276.7964365388652,,1907.2195944721925,,2112.5064370389723,,1012.174563317872,,2137.403815562977,,1061.1065985550426,,835.516067105516,,2075.258469974539,,684.6217133636608,,1956.8715777182692,,1293.9374319777887,,4278.571151727173,,1534.903623622029,,617.1948508323865,,176.48705204140927,,698.591676026559,,1336.920693240251,,4540.690840087181,,809.6422286564438,,557.3406319852888,,452.9158177564582,,933.4563739898659,,1244.172943266695,,2393.388926440947,,2523.4073052816116,,2236.747734257986,,1243.8628863948302,,1244.0534872957487,,1243.984121660648,,1244.2590658210302,,1244.2470750044524,,1244.072293345389,,1243.9511472385364,,1243.945176546459,,1243.8077203269918,,1243.9797194005537,,1244.144904109818,,1244.0355543031403,,1244.1090172688416,,1244.3455352686003,,1244.0966237141433,,1243.9561393484107,,1243.8678566828196,,1243.8472334925336,,1243.9096373865227,,1244.395036712695,,1243.9771283481764,,1243.9820793593374,,1243.8464245289842,,1243.903835352164,,1244.154714008579,,1244.0868912434237,,1244.1676828229936,,1243.857161614552,,1243.8651636648212,,1243.9493619899774,,1243.9799922361826,,1243.905874901451,,1243.9700792433403,,1243.9548370093182,,1243.9830776572148,,1243.978918969793,,1244.019650085886,,1244.0731864786796,,1244.1556337107204,,1244.1396378903335,,1244.2982423981157,,1244.329664501605,,1244.4201731476617,
12,1191.64146457534,,949.0228796205568,,1545.8458252294868,,1057.1390455304252,,1594.8992038348524,,1826.1008123431925,,900.3460426263118,,1661.3308412214171,,966.8176003381627,,724.560800697076,,1593.741703132979,,674.4229481467809,,1635.9025971682693,,1147.2029303904487,,3382.169439768733,,1286.7797922804689,,567.4312497450464,,176.43595249984926,,631.312350226559,,1143.225465936031,,3475.904131645621,,713.4072813064438,,532.7300626021688,,428.69593204801816,,778.2847541356459,,1072.9422197823951,,1869.7889662993873,,1982.0119277689512,,1827.297855866426,,1072.6321629105303,,1072.8227638114486,,1072.753398176348,,1073.02834233673,,1073.0163515201523,,1072.8415698610888,,1072.7204237542362,,1072.714453062159,,1072.5769968426916,,1072.7489959162538,,1072.9141806255182,,1072.8048308188402,,1072.8782937845417,,1073.1148117843002,,1072.8659002298434,,1072.7254158641108,,1072.6371331985197,,1072.6165100082335,,1072.6789139022228,,1073.1643132283948,,1072.7464048638765,,1072.7513558750372,,1072.6157010446843,,1072.673111867864,,1072.9239905242791,,1072.8561677591235,,1072.9369593386934,,1072.6264381302522,,1072.634440180521,,1072.7186385056775,,1072.7492687518827,,1072.675151417151,,1072.73935575904,,1072.7241135250183,,1072.7523541729147,,1072.748195485493,,1072.788926601586,,1072.8424629943797,,1072.9249102264203,,1072.9089144060335,,1073.0675189138158,,1073.098941017305,,1073.1894496633615,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1191.64146457534,,949.0228796205568,,1545.8458252294868,,1057.1390455304252,,1594.8992038348524,,1826.1008123431925,,900.3460426263118,,1661.3308412214171,,966.8176003381627,,724.560800697076,,1593.741703132979,,674.4229481467809,,1635.9025971682693,,1147.2029303904487,,3382.169439768733,,1286.7797922804689,,567.4312497450464,,176.43595249984926,,631.312350226559,,1143.225465936031,,3475.904131645621,,713.4072813064438,,532.7300626021688,,428.69593204801816,,778.2847541356459,,1072.9422197823951,,1869.7889662993873,,1982.0119277689512,,1827.297855866426,,1072.6321629105303,,1072.8227638114486,,1072.753398176348,,1073.02834233673,,1073.0163515201523,,1072.8415698610888,,1072.7204237542362,,1072.714453062159,,1072.5769968426916,,1072.7489959162538,,1072.9141806255182,,1072.8048308188402,,1072.8782937845417,,1073.1148117843002,,1072.8659002298434,,1072.7254158641108,,1072.6371331985197,,1072.6165100082335,,1072.6789139022228,,1073.1643132283948,,1072.7464048638765,,1072.7513558750372,,1072.6157010446843,,1072.673111867864,,1072.9239905242791,,1072.8561677591235,,1072.9369593386934,,1072.6264381302522,,1072.634440180521,,1072.7186385056775,,1072.7492687518827,,1072.675151417151,,1072.73935575904,,1072.7241135250183,,1072.7523541729147,,1072.748195485493,,1072.788926601586,,1072.8424629943797,,1072.9249102264203,,1072.9089144060335,,1073.0675189138158,,1073.098941017305,,1073.1894496633615,
